Code,Name,Date,Open,High,Low,Close,Volumn,Amount,Change,Turnover,PE,PB,Average,AmountPercentage,HQLTSZ,AHQLTSZ,Payout,IR
801813,小盘指数,2003-2-28,1154.15,1168.32,1140.3,1160.22,0.81,12.89,0.34,1.23,78.28,4.74,14.45,14.13,919.36,4.6,0.37,5.76
801813,小盘指数,2003-2-27,1156.18,1169.91,1145.55,1156.22,0.69,10.49,0.02,1.05,78.02,4.73,14.39,10.23,916.2,4.58,0.37,5.76
801813,小盘指数,2003-2-26,1154.71,1166.67,1142.31,1155.98,0.79,11.54,0.15,1.2,78,4.73,14.39,11.63,916.01,4.58,0.37,5.76
801813,小盘指数,2003-2-25,1130.5,1160.97,1125.54,1154.25,0.93,13.88,2.26,1.42,77.88,4.72,14.36,10.4,914.64,4.57,0.37,5.76
801813,小盘指数,2003-2-24,1117.72,1138.6,1112.71,1128.15,0.57,8.56,0.58,0.87,76.12,4.61,14.05,9.82,893.98,4.47,0.38,5.76
801813,小盘指数,2003-2-21,1139.32,1146.89,1114.39,1121.56,0.71,9.51,-1.76,1.08,75.68,4.58,13.96,7.57,888.76,4.44,0.38,5.76
801813,小盘指数,2003-2-20,1142.94,1152.98,1133.22,1141.32,0.49,6.39,-0.05,0.74,77.01,4.67,14.21,5.94,904.4,4.52,0.37,5.76
801813,小盘指数,2003-2-19,1137.22,1147.13,1125.49,1141.85,0.43,5.8,0.62,0.65,77.05,4.67,14.21,5.82,904.82,4.52,0.37,5.76
801813,小盘指数,2003-2-18,1134.05,1144.56,1124.1,1134.78,0.46,6.39,-0.05,0.71,76.57,4.64,14.12,7.18,899.22,4.5,0.38,5.76
801813,小盘指数,2003-2-17,1144.53,1155.66,1127.45,1135.34,0.67,9.01,-0.73,1.03,76.61,4.64,14.13,7.32,899.66,4.5,0.38,5.76
801813,小盘指数,2003-2-14,1138.9,1153.06,1131.07,1143.62,0.59,7.94,0.29,0.9,77.16,4.67,14.23,7.08,906.21,4.53,0.37,5.76
801813,小盘指数,2003-2-13,1141.42,1157.72,1131.36,1140.29,0.8,10.75,-0.03,1.22,76.94,4.66,14.19,7.09,903.58,4.52,0.37,5.76
801813,小盘指数,2003-2-12,1127.08,1144.84,1119.19,1140.66,0.55,7.12,1.01,0.84,76.96,4.66,14.18,5.83,903.86,4.52,0.37,5.76
801813,小盘指数,2003-2-11,1115.43,1133.66,1109.53,1129.12,0.35,4.6,1.01,0.53,76.19,4.62,14.05,6.25,894.73,4.47,0.38,5.76
801813,小盘指数,2003-2-10,1130.6,1137.52,1110.14,1117.67,0.37,4.97,-1.32,0.57,75.42,4.57,13.91,6.25,885.67,4.43,0.38,5.76
801813,小盘指数,2003-1-29,1133.45,1145.56,1124.09,1132.4,0.64,8.76,-0.14,0.97,65.87,4.5,14.09,6.76,897.32,4.49,0.38,5.76
801813,小盘指数,2003-1-28,1130.2,1143.3,1119.86,1133.95,0.66,9.08,0.42,1.01,76.51,4.64,14.1,7.93,898.55,4.49,0.38,5.76
801813,小盘指数,2003-1-27,1118.26,1137.15,1110.94,1129.13,0.59,7.78,1.01,0.9,76.19,4.62,14.04,5.25,894.74,4.47,0.38,5.76
801813,小盘指数,2003-1-24,1102.88,1123.6,1094.86,1117.72,0.57,7.34,1.14,0.87,75.42,4.57,13.91,5.33,885.71,4.43,0.38,5.76
801813,小盘指数,2003-1-23,1114.38,1129.06,1098.41,1105.02,0.61,7.7,-1.02,0.94,74.56,4.52,13.76,6.36,875.64,4.38,0.39,5.76
801813,小盘指数,2003-1-22,1108.53,1127.19,1098.07,1116.26,0.7,8.81,0.22,1.06,75.32,4.56,13.9,6.95,884.54,4.42,0.38,5.76
801813,小盘指数,2003-1-21,1137.55,1149.25,1108.76,1113.83,0.98,12.83,-1.71,1.49,75.15,4.55,13.87,8.33,882.6,4.41,0.38,5.76
801813,小盘指数,2003-1-20,1126.56,1142.42,1110.84,1132.82,0.83,10.78,0.38,1.27,76.43,4.63,14.1,6.82,897.61,4.49,0.38,5.76
801813,小盘指数,2003-1-17,1137.45,1149.9,1117.18,1128.57,1.15,15.01,-0.69,1.75,76.14,4.61,14.05,7.55,894.23,4.47,0.38,5.76
801813,小盘指数,2003-1-16,1111.23,1145.68,1103.4,1136.31,1.4,19.2,2.13,2.14,76.66,4.64,14.15,8.57,900.34,4.5,0.37,5.76
801813,小盘指数,2003-1-15,1117.47,1143.07,1097.51,1112.13,1.43,19.63,-0.2,2.19,75.03,4.55,13.85,6.37,881.17,4.41,0.38,5.76
801813,小盘指数,2003-1-14,1069.62,1128.64,1063.82,1114.38,1.52,20.13,4.04,2.32,75.18,4.55,13.87,6,882.92,4.41,0.38,5.76
801813,小盘指数,2003-1-13,1064.47,1080.03,1055.15,1069.32,0.49,6.19,0.15,0.75,72.14,4.37,13.32,6.68,847.24,4.24,0.4,5.76
801813,小盘指数,2003-1-10,1079.48,1091.74,1061.15,1067.72,0.86,10.91,-1.18,1.31,72.03,4.36,13.3,6.73,845.95,4.23,0.4,5.76
801813,小盘指数,2003-1-9,1063.34,1089.68,1050.39,1080.29,1.18,14.77,1.82,1.8,72.88,4.42,13.46,8.54,855.88,4.28,0.39,5.76
801813,小盘指数,2003-1-8,1035.23,1065.02,1028.33,1060.61,0.65,7.76,2.24,0.99,71.55,4.33,13.22,8.82,840.31,4.2,0.4,5.76
801813,小盘指数,2003-1-7,1035.98,1055.53,1023.34,1036.83,0.61,7.36,0.03,0.93,69.95,4.24,12.93,10.78,821.48,4.11,0.41,5.76
